Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Armageddon,"$553,709,788","$201,578,182",36.4%,"$352,131,606",63.6%
2,Saving Private Ryan,"$481,840,909","$216,540,909",44.9%,"$265,300,000",55.1%
3,Godzilla,"$379,014,294","$136,314,294",36%,"$242,700,000",64%
4,There's Something About Mary,"$369,884,651","$176,484,651",47.7%,"$193,400,000",52.3%
5,A Bug's Life,"$363,258,859","$162,798,565",44.8%,"$200,460,294",55.2%
6,Mulan,"$304,320,254","$120,620,254",39.6%,"$183,700,000",60.4%
7,Doctor Dolittle,"$294,456,605","$144,156,605",49%,"$150,300,000",51%
8,Shakespeare in Love,"$289,317,794","$100,317,794",34.7%,"$189,000,000",65.3%
9,Lethal Weapon 4,"$285,444,603","$130,444,603",45.7%,"$155,000,000",54.3%
10,The Truman Show,"$264,118,201","$125,618,201",47.6%,"$138,500,000",52.4%
11,Enemy of the State,"$250,849,789","$111,549,836",44.5%,"$139,299,953",55.5%
12,You've Got Mail,"$250,821,495","$115,821,495",46.2%,"$135,000,000",53.8%
13,The Mask of Zorro,"$250,288,523","$94,095,523",37.6%,"$156,193,000",62.4%
14,Rush Hour,"$244,386,864","$141,186,864",57.8%,"$103,200,000",42.2%
15,Life Is Beautiful,"$228,847,384","$57,247,384",25%,"$171,600,000",75%
16,The Prince of Egypt,"$218,613,188","$101,413,188",46.4%,"$117,200,000",53.6%
17,Patch Adams,"$202,292,902","$135,026,902",66.7%,"$67,266,000",33.3%
18,City of Angels,"$198,685,114","$78,685,114",39.6%,"$120,000,000",60.4%
19,The Horse Whisperer,"$186,883,563","$75,383,563",40.3%,"$111,500,000",59.7%
20,The Waterboy,"$185,991,646","$161,491,646",86.8%,"$24,500,000",13.2%
21,The Man in the Iron Mask,"$182,968,902","$56,968,902",31.1%,"$126,000,000",68.9%
22,Antz,"$171,757,863","$90,757,863",52.8%,"$81,000,000",47.2%
23,Six Days Seven Nights,"$164,839,294","$74,339,294",45.1%,"$90,500,000",54.9%
24,Stepmom,"$159,710,793","$91,137,662",57.1%,"$68,573,131",42.9%
25,Meet Joe Black,"$142,940,100","$44,619,100",31.2%,"$98,321,000",68.8%
26,The Rugrats Movie,"$140,894,675","$100,494,675",71.3%,"$40,400,000",28.7%
27,Deep Impact,"$140,694,752","$140,464,664",99.8%,"$230,088",0.2%
28,Lost in Space,"$136,159,423","$69,117,629",50.8%,"$67,041,794",49.2%
29,Blade,"$131,183,530","$70,087,718",53.4%,"$61,095,812",46.6%
30,A Perfect Murder,"$128,038,368","$67,638,368",52.8%,"$60,400,000",47.2%
31,The Wedding Singer,"$123,306,987","$80,245,725",65.1%,"$43,061,262",34.9%
32,The Siege,"$116,672,912","$40,981,289",35.1%,"$75,691,623",64.9%
33,Star Trek: Insurrection,"$112,587,658","$70,187,658",62.3%,"$42,400,000",37.7%
34,T-Rex: Back to the Cretaceous,"$103,960,367","$53,354,743",51.3%,"$50,605,624",48.7%
35,Snake Eyes,"$103,891,409","$55,591,409",53.5%,"$48,300,000",46.5%
36,U.S. Marshals,"$102,367,405","$57,167,405",55.8%,"$45,200,000",44.2%
37,Ever After: A Cinderella Story,"$98,005,666","$65,705,771",67%,"$32,299,895",33%
38,Mercury Rising,"$93,107,289","$32,935,289",35.4%,"$60,172,000",64.6%
39,The Parent Trap,"$92,108,518","$66,308,518",72%,"$25,800,000",28%
40,The X Files,"$87,535,637","$83,898,313",95.8%,"$3,637,324",4.2%
41,Everest,"$87,178,599","$87,178,599",100%,-,-
42,Elizabeth,"$82,150,642","$30,082,699",36.6%,"$52,067,943",63.4%
43,Hope Floats,"$81,471,882","$60,053,195",73.7%,"$21,418,687",26.3%
44,Out of Sight,"$77,745,568","$37,562,568",48.3%,"$40,183,000",51.7%
45,Urban Legend,"$72,527,595","$38,072,438",52.5%,"$34,455,157",47.5%
46,Babe: Pig in the City,"$69,131,860","$18,319,860",26.5%,"$50,812,000",73.5%
47,A Civil Action,"$56,709,981","$56,709,981",100%,-,-
48,Great Expectations,"$55,494,066","$26,420,672",47.6%,"$29,073,394",52.4%
49,What Dreams May Come,"$55,382,927","$55,382,927",100%,-,-
50,Waking Ned Devine,"$55,257,450","$24,792,251",44.9%,"$30,465,199",55.1%
51,Halloween H20: 20 Years Later,"$55,041,738","$55,041,738",100%,-,-
52,Small Soldiers,"$54,682,547","$54,682,547",100%,-,-
53,Primary Colors,"$52,090,187","$39,001,187",74.9%,"$13,089,000",25.1%
54,Bride of Chucky,"$50,688,658","$32,400,658",63.9%,"$18,288,000",36.1%
55,Mighty Joe Young,"$50,632,037","$50,632,037",100%,-,-
56,Pleasantville,"$49,805,462","$40,584,421",81.5%,"$9,221,041",18.5%
57,The Object of My Affection,"$46,905,889","$29,187,243",62.2%,"$17,718,646",37.8%
58,Practical Magic,"$46,733,235","$46,732,881",100%,$354,<0.1%
59,The Big Lebowski,"$46,142,637","$17,451,873",37.8%,"$28,690,764",62.2%
60,Mysteries of Egypt,"$44,703,731","$40,593,486",90.8%,"$4,110,245",9.2%
61,The Negotiator,"$44,547,681","$44,547,681",100%,-,-
62,Ronin,"$41,616,262","$41,616,262",100%,-,-
63,The Faculty,"$40,283,321","$40,283,321",100%,-,-
64,I Still Know What You Did Last Summer,"$40,002,112","$40,002,112",100%,-,-
65,The Thin Red Line,"$39,873,111","$36,400,491",91.3%,"$3,472,620",8.7%
66,How Stella Got Her Groove Back,"$39,278,722","$37,672,941",95.9%,"$1,605,781",4.1%
67,Psycho,"$37,170,655","$21,485,655",57.8%,"$15,685,000",42.2%
68,Sphere,"$37,020,277","$37,020,277",100%,-,-
69,Jack Frost,"$34,562,556","$34,562,556",100%,-,-
70,A Night at the Roxbury,"$30,331,165","$30,331,165",100%,-,-
71,Wild Things,"$30,147,739","$30,147,739",100%,-,-
72,Madeline,"$29,967,750","$29,967,750",100%,-,-
73,Spice World,"$29,342,592","$29,342,592",100%,-,-
74,Bulworth,"$29,202,884","$26,528,185",90.8%,"$2,674,699",9.2%
75,Grease 1998 Re-release,"$28,411,018","$28,411,018",100%,-,-
76,Dark City,"$27,200,316","$14,378,331",52.9%,"$12,821,985",47.1%
77,The Big Hit,"$27,007,143","$27,007,143",100%,-,-
78,Paulie,"$26,875,268","$26,875,268",100%,-,-
79,One True Thing,"$26,616,840","$23,245,840",87.3%,"$3,371,000",12.7%
80,Can't Hardly Wait,"$25,605,015","$25,605,015",100%,-,-
81,Fallen,"$25,232,289","$25,232,289",100%,-,-
82,American History X,"$23,875,127","$6,719,864",28.1%,"$17,155,263",71.9%
83,The Avengers,"$23,384,939","$23,384,939",100%,-,-
84,The Players Club,"$23,261,485","$23,047,939",99.1%,"$213,546",0.9%
85,Rounders,"$22,912,409","$22,912,409",100%,-,-
86,Beloved,"$22,852,487","$22,852,487",100%,-,-
87,The Borrowers,"$22,619,589","$22,619,589",100%,-,-
88,Quest for Camelot,"$22,510,798","$22,510,798",100%,-,-
89,He Got Game,"$21,567,853","$21,567,853",100%,-,-
90,Vampires,"$20,308,772","$20,308,772",100%,-,-
91,Mafia!,"$19,889,299","$19,889,299",100%,-,-
92,Hard Rain,"$19,870,567","$19,870,567",100%,-,-
93,Species II,"$19,221,939","$19,221,939",100%,-,-
94,The Replacement Killers,"$19,204,929","$19,204,929",100%,-,-
95,The Odd Couple II,"$18,912,328","$18,912,328",100%,-,-
96,Mr. Nice Guy,"$18,814,720","$12,716,953",67.6%,"$6,097,767",32.4%
97,Simon Birch,"$18,253,415","$18,253,415",100%,-,-
